Time,L_max,TAS
2016-08-01 00:00:00,72.6035165096329,-0.35860685734947817
2016-08-01 06:00:00,72.60374626841167,0.22290238010194363
2016-08-01 12:00:00,72.60351425223068,-0.3643202418299309
2016-08-01 18:00:00,72.60367086154434,0.032050956923222754
2016-08-02 00:00:00,72.60350174468019,-0.3959762951437718
2016-08-02 06:00:00,72.60352904499882,-0.32688040441659144
2016-08-02 12:00:00,72.60346593548336,-0.48660777766706576
2016-08-02 18:00:00,72.60344929512917,-0.5287237730926777
2016-08-03 00:00:00,72.60344505186984,-0.5394632734862297
2016-08-03 06:00:00,72.6034792630367,-0.4528763336482188
2016-08-03 12:00:00,72.6034961603126,-0.4101100808188838
2016-08-03 18:00:00,72.60345771399993,-0.5074159861003085
2016-08-04 00:00:00,72.60345862001584,-0.5051229001713196
2016-08-04 06:00:00,72.60354643911226,-0.2828566778897055
2016-08-04 12:00:00,72.60354380730294,-0.2895176700873621
2016-08-04 18:00:00,72.60352388029646,-0.33995203609066926
2016-08-05 00:00:00,72.60357637621543,-0.2070872029399754
2016-08-05 06:00:00,72.60351966541897,-0.35061970332684445
2016-08-05 12:00:00,72.60354109960323,-0.2963707374667509
2016-08-05 18:00:00,72.60355143492676,-0.27021249388221646
2016-08-06 00:00:00,72.6034539710901,-0.51688912418967
2016-08-06 06:00:00,72.6034466945148,-0.5353058122414988
2016-08-06 12:00:00,72.60348706493095,-0.43313008675637676
2016-08-06 18:00:00,72.60346119288735,-0.49861107695786866
2016-08-07 00:00:00,72.60351181956064,-0.37047722137978073
2016-08-07 06:00:00,72.6035936124563,-0.16346304487568308
2016-08-07 12:00:00,72.60399902228737,0.8626111838577346
2016-08-07 18:00:00,72.60384315491778,0.4681178125250543
2016-08-08 00:00:00,72.60355210560469,-0.2685150378965801
2016-08-08 06:00:00,72.60368257696318,0.06170216028577009
2016-08-08 12:00:00,72.60361567852675,-0.10761480319540226
2016-08-08 18:00:00,72.60353680761908,-0.307233558231716
2016-08-09 00:00:00,72.60347774445248,-0.4567198027017885
2016-08-09 06:00:00,72.60383363110125,0.4440134570021645
2016-08-09 12:00:00,72.60354639145562,-0.28297729472658933
2016-08-09 18:00:00,72.6034476411653,-0.5329098819772228
2016-08-10 00:00:00,72.60347529954177,-0.46290776282159707
2016-08-10 06:00:00,72.60347418472116,-0.465729324129183
2016-08-10 12:00:00,72.60347581775748,-0.4615961819269157
2016-08-10 18:00:00,72.6034930303604,-0.41803185046659147
2016-09-01 00:00:00,72.60395502981217,0.7512681882033492
2016-09-01 06:00:00,72.60355830626328,-0.252821447135005
2016-09-01 12:00:00,72.60359468844092,-0.1607397756989431
2016-09-01 18:00:00,72.60360942365476,-0.1234456056626197
